,Unnamed: 0,Unnamed: 0.1,CASE_NUMBER,CASE_STATUS,VISA_CLASS,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,PW_UNIT_OF_PAY,STATUS_APPROVE,RELOCATE,year,descrpt
0,0,0,I-200-10354-708540,CERTIFIED-WITHDRAWN,H-1B,ALEKA SYSTEMS LLC,TEANECK,NJ,15-1021,Computer Programmers,COMPUTER PROGRAMMER,Y,45282.0,Year,0,0,2012,Computer and Mathematical Occupations
1,1,1,I-200-10354-855690,CERTIFIED-WITHDRAWN,H-1B,ALEKA SYSTEMS LLC,TEANECK,NJ,15-1021,Computer Programmers,COMPUTER PROGRAMMER,Y,46446.0,Year,0,0,2012,Computer and Mathematical Occupations
2,2,2,I-200-11038-016044,CERTIFIED-WITHDRAWN,H-1B,ALEKA SYSTEMS LLC,TEANECK,NJ,15-1021,Software Quality Assurance Engineers and Testers,COMPUTER  SUPPORT SPECIALISTS,Y,41350.0,Year,0,0,2012,Computer and Mathematical Occupations
3,3,3,I-200-11042-412895,CERTIFIED-WITHDRAWN,H-1B,ALEKA SYSTEMS LLC,TEANECK,NJ,15-1021,Computer Programmers,COMPUTER PROGRAMMER,Y,46405.0,Year,0,0,2012,Computer and Mathematical Occupations
4,4,4,I-200-11143-008515,CERTIFIED-WITHDRAWN,H-1B,ALEKA SYSTEMS LLC,WEST DES MOINES,IA,15-1021,Computer Programmer Non R & D,COMPUTER PROGRAMMER,Y,50752.0,Year,0,0,2012,Computer and Mathematical Occupations
5,5,5,I-200-11252-189314,CERTIFIED-WITHDRAWN,H-1B,"AIRYSOFT, INC",GRAND RAPIDS,MI,15-1131,Computer Programmers,COMPUTER PROGRAMMER,Y,50128.0,Year,0,0,2012,Computer and Mathematical Occupations
6,6,6,I-200-09191-153341,CERTIFIED-WITHDRAWN,H-1B,IBM CORPORATION,RTP,NC,15-1031,,SENIOR CONSULTANT,Y,75962.0,Year,0,0,2012,Computer and Mathematical Occupations
7,7,7,I-200-09246-788484,CERTIFIED-WITHDRAWN,H-1B,TEMPLE UNIVERSITY--A COMMONWEALTH UNIVERSITY,PHILADELPHIA,PA,15-1021,"Mechanical Engineers, R&D",POSTDOCTORAL FELLOW,Y,43860.0,Year,0,1,2012,Computer and Mathematical Occupations
8,8,8,I-200-09292-675280,CERTIFIED-WITHDRAWN,H-1B,WASHINGTON UNIVERSITY IN ST. LOUIS,ST. LOUIS,MO,15-1021,"Health Specialties Teachers, Postsecondary",ASSISTANT PROFESSOR,Y,49240.0,Year,0,1,2012,Computer and Mathematical Occupations
9,9,9,I-200-09308-000206,CERTIFIED-WITHDRAWN,H-1B,WASHINGTON UNIVERSITY IN ST. LOUIS,ST. LOUIS,MO,15-1021,Biochemists and Biophysicists,STAFF SCIENTIST,Y,34154.0,Year,0,1,2012,Computer and Mathematical Occupations
10,10,10,I-200-09357-991791,CERTIFIED-WITHDRAWN,H-1B,TEMPLE UNIVERSITY--A COMMONWEALTH UNIVERSITY,PHILADELPHIA,PA,15-1021,Biological Technicians,ASSOCIATE SCIENTIST (BIOCHEMISTRY),Y,46530.0,Year,0,1,2012,Computer and Mathematical Occupations
11,11,11,I-200-10033-811436,CERTIFIED,H-1B,ZYNGA INC.,SAN FRANCISCO,CA,15-1121,Computer Systems Analysts,SENIOR PRODUCT MANAGER,Y,77709.0,Year,1,1,2012,Computer and Mathematical Occupations
12,12,12,I-200-10042-252031,CERTIFIED-WITHDRAWN,H-1B,WASHINGTON UNIVERSITY IN ST. LOUIS,ST. LOUIS,MO,15-1021,"Medical Scientists, Except Epidemiologists",RESEARCH INSTRUCTOR,Y,37482.0,Year,0,1,2012,Computer and Mathematical Occupations
13,13,13,I-200-10067-122407,CERTIFIED-WITHDRAWN,H-1B,IBM CORPORATION,RTP,NC,15-1011,,POST-DOC:  MIXED-SIGNAL INTEGRATED CIRCUIT DESIGN,Y,61110.0,Year,0,0,2012,Computer and Mathematical Occupations
14,14,14,I-200-10083-395996,CERTIFIED-WITHDRAWN,H-1B,"V-SOFT CONSULTING GROUP, INC",LOUISVILLE,KY,15-1021,Network Systems and Data Communications Analysts,NETWORK ENGINEER,Y,44699.0,Year,0,0,2012,Computer and Mathematical Occupations
